mode,date,tap,loc,count
bus,20160809,off,2285,914
bus,20160809,off,2286,149
bus,20160809,off,2287,1262
bus,20160809,off,2233,932
bus,20160809,off,2203,1481
bus,20160809,off,2765,368
bus,20160809,off,2256,2082
bus,20160809,off,2171,1073
bus,20160809,off,2516,292
bus,20160809,off,2046,3653
bus,20160809,off,2047,4602
bus,20160809,off,2044,1129
bus,20160809,off,2045,975
bus,20160809,off,2042,7696
bus,20160809,off,2043,303
bus,20160809,off,2040,5551
bus,20160809,off,2041,3219
bus,20160809,off,2107,739
bus,20160809,off,2278,73
bus,20160809,off,2048,1656
bus,20160809,off,2049,1955
bus,20160809,off,2168,2958
bus,20160809,off,2166,3027
bus,20160809,off,2165,4898
bus,20160809,off,2164,2079
bus,20160809,off,2167,812
bus,20160809,off,2148,13194
bus,20160809,off,2159,256
bus,20160809,off,2160,3333
bus,20160809,off,2163,459
bus,20160809,off,2162,1161
bus,20160809,off,2143,195
bus,20160809,off,2299,1095
